"","B2","B3","B4","B5","B6","B7","class"
"88",0.0654455,0.0698276,0.0864062,0.132754,0.193232,0.155715,"CBS R VEG"
"62",0.06304,0.067565,0.0808568,0.113986,0.149954,0.12904,"CBS R"
"24",0.119105,0.15009,0.186987,0.229666,0.265829,0.238052,"CBS LC"
"28",0.103648,0.129893,0.162098,0.210041,0.24737,0.222618,"CBS LC"
"29",0.115675,0.147946,0.187487,0.239288,0.279667,0.247555,"CBS LC"
"53",0.059015,0.060682,0.072878,0.111461,0.153384,0.128444,"CBS R"
"96",0.0480831,0.0530845,0.0640655,0.166551,0.166174,0.1114385,"VEGETACION"
"80",0.0650406,0.0694465,0.0851439,0.1294195,0.184848,0.155191,"CBS R VEG"
"9",0.1243445,0.15683,0.195919,0.240289,0.271736,0.238481,"ARENA"
"92",0.055109,0.0617299,0.0814999,0.16193,0.245345,0.178508,"VEGETACION"
"16",0.115985,0.145565,0.180961,0.220401,0.248537,0.222571,"ARENA"
"59",0.0629924,0.0668982,0.079785,0.118368,0.146739,0.125753,"CBS R"
"55",0.0723286,0.0767345,0.0923368,0.136184,0.171438,0.152643,"CBS R"
"50",0.0606822,0.064445,0.07757,0.116868,0.157028,0.133017,"CBS R"
"34",0.0834987,0.0980028,0.119894,0.161739,0.201425,0.179675,"CBS LO"
"64",0.0602535,0.0620634,0.0741641,0.112533,0.159648,0.133398,"CBS R MO"
"56",0.0650645,0.0691846,0.0829289,0.121465,0.150859,0.133255,"CBS R"
"15",0.116104,0.146184,0.18108,0.219639,0.2496325,0.223523,"ARENA"
"72",0.0560379,0.0560139,0.0669712,0.0997671,0.144643,0.118917,"CBS R MO"
"93",0.0543469,0.0602771,0.0782131,0.160668,0.228935,0.163765,"VEGETACION"
"57",0.0627304,0.0659217,0.0783798,0.117868,0.146143,0.127587,"CBS R"
"85",0.0646119,0.0691369,0.0847867,0.130634,0.1878725,0.1529285,"CBS R VEG"
"90",0.0669222,0.072376,0.0901456,0.139851,0.206189,0.1661,"CBS R VEG"
